phase,battery_id,chemistry,cycle_index,sample_index,normalized_time,elapsed_time_s,voltage_v,current_a,c_rate,temperature_k
charge,MIT_20180412_cell_9_processed,LFP,1,0,0.0,0.0,3.4284,0.6202,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,2,1,0.0101010101010101,11.521369696969696,3.4250329074666563,1.0001703585407404,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,52,2,0.0202020202020202,22.018183838383838,3.41429843915142,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,75,3,0.0303030303030303,32.775239393939394,3.4118554463652506,1.0000537128028957,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,15,4,0.0404040404040404,45.46211717171718,3.409766016256825,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,72,5,0.0505050505050505,54.46125252525254,3.40864016607316,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,79,6,0.0606060606060606,65.09549696969698,3.4082008808795754,1.0002,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,86,7,0.0707070707070707,75.7077080808081,3.4081099007957385,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,79,8,0.0808080808080808,86.79399595959597,3.4085646599587864,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,22,9,0.0909090909090909,101.35304545454544,3.409092067948031,1.0000539660259844,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,58,10,0.101010101010101,109.99950505050508,3.409388750803013,1.0000971877007532,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,10,11,0.1111111111111111,126.51007777777778,3.412191114693985,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,80,12,0.1212121212121212,130.45374545454544,3.4116099075122035,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,29,13,0.1313131313131313,145.76197474747477,3.412539821546129,1.0002,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,32,14,0.1414141414141414,156.33061818181818,3.4133948093076483,1.0001810381384704,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,16,15,0.1515151515151515,170.3163787878788,3.415486656840813,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,20,16,0.1616161616161616,180.23991919191923,3.41637067168809,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,82,17,0.1717171717171717,184.57068282828288,3.4171959630697346,1.0001173394883776,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,48,18,0.1818181818181818,198.97665454545452,3.4179579316193376,1.0001715863238674,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,66,19,0.1919191919191919,208.2718202020202,3.4195471418568157,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,70,20,0.202020202020202,218.37531313131316,3.420943871162391,1.0001426881396014,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,80,21,0.2121212121212121,228.2940545454545,3.4222284712411155,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,72,22,0.2222222222222222,239.6295111111112,3.42357387278342,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,51,23,0.2323232323232323,253.3291090909091,3.424436908586091,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,25,24,0.2424242424242424,270.19299393939394,3.427542979387992,1.0001918541982846,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,79,25,0.2525252525252525,271.23123737373743,3.4277966911929973,1.0000879136008751,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,82,26,0.2626262626262626,282.2845737373738,3.429657380604072,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,62,27,0.2727272727272727,295.19416363636367,3.4307648259893604,1.0002,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,69,28,0.2828282828282829,305.7803919191919,3.43302175546322,1.0000972805670971,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,82,29,0.2929292929292929,314.8558707070707,3.4348609733627207,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,30,30,0.303030303030303,336.3012424242425,3.4378145868120598,1.000188541318794,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,34,31,0.3131313131313131,345.90241515151524,3.439621628323043,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,42,32,0.3232323232323232,355.4664404040404,3.441854988201809,1.000095498820181,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,18,33,0.3333333333333333,373.783,3.4467433022429046,1.0001428229043918,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,40,34,0.3434343434343435,377.6131010101011,3.4470332990639547,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,62,35,0.3535353535353536,382.659101010101,3.4484451236426605,1.0000610625969528,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,88,36,0.3636363636363636,388.8930909090909,3.4510748104588664,1.0001583206972575,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,51,37,0.3737373737373737,407.5294363636364,3.4554939350999265,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,72,38,0.3838383838383838,413.90551919191927,3.4592604550261288,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,72,39,0.393939393939394,424.7977696969698,3.4634962299758216,1.0001760109512297,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,97,40,0.4040404040404041,432.8609292929294,3.4689435353797946,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,87,41,0.4141414141414142,442.9861151515152,3.471355083172816,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,5,42,0.4242424242424242,482.6740121212122,3.513528549109657,1.0000716935350062,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,51,43,0.4343434343434343,473.61529090909096,3.489281999275625,1.0001464324520102,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,69,44,0.4444444444444445,480.5120444444444,3.4960386562916344,1.0001769328145818,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,12,45,0.4545454545454546,513.6283181818183,3.542796183081413,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,4,46,0.4646464646464647,528.3891292929294,3.5916569058953542,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,2,47,0.4747474747474748,541.5043757575758,3.600082348020264,0.87975145013992,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,53,48,0.4848484848484848,529.4848484848485,3.55549437207017,1.0001296094082934,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,40,49,0.494949494949495,544.2071161616162,3.5874442648871794,1.0000826164840315,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,80,50,0.5050505050505051,543.5572727272727,3.582249859929085,1.0001,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,59,51,0.5151515151515152,559.2187090909092,3.6001,0.9147229852552836,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,3,52,0.5252525252525253,598.690391919192,3.6,0.5706460793005989,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,60,53,0.5353535353535354,581.2096707070707,3.6,0.7810801615638304,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,63,54,0.5454545454545455,589.3399636363637,3.6,0.7191054311420743,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,28,55,0.5555555555555556,617.9008888888889,3.600035076026429,0.5493197668715197,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,62,56,0.5656565656565657,612.2545616161617,3.6,0.6004039353092759,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,94,57,0.5757575757575758,614.2720727272729,3.600011190677997,0.580676004245177,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,79,58,0.5858585858585859,629.2564707070708,3.6,0.5156448181701551,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,46,59,0.595959595959596,651.5638181818183,3.6,0.4177803642464059,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,63,60,0.6060606060606061,654.8221818181818,3.6,0.4005283800184033,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,35,61,0.6161616161616162,679.7803030303031,3.6,0.3231153372847968,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,73,62,0.6262626262626263,676.7960080808082,3.600037033358206,0.3357375300004327,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,94,63,0.6363636363636365,678.9322909090911,3.6,0.3244535815965051,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,37,64,0.6464646464646465,713.7309737373737,3.6,0.2485704065164581,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,82,65,0.6565656565656566,705.7114343434343,3.6,0.2653394284994584,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,79,66,0.6666666666666667,716.0504666666668,3.6,0.2445648972032348,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,74,67,0.6767676767676768,728.1650686868688,3.6,0.2219760382614079,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,88,68,0.686868686868687,734.5758383838385,3.6,0.213019592520577,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,85,69,0.696969696969697,744.7082181818182,3.6,0.1994475370548428,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,15,70,0.7070707070707072,795.5870505050507,3.6,0.1529113521671212,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,61,71,0.7171717171717172,777.7410282828283,3.6,0.1634246709733379,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,3,72,0.7272727272727273,828.9559272727274,3.6,0.125685143783862,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,6,73,0.7373737373737375,836.0043323232323,3.6,0.1246942267938616,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,54,74,0.7474747474747475,816.3949090909091,3.6,0.1333066064866592,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,88,75,0.7575757575757577,810.1939393939394,3.6,0.1347287019693823,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,17,76,0.7676767676767677,860.3704363636364,3.6,0.1110961067410136,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,30,77,0.7777777777777778,863.173188888889,3.6,0.1093206952075093,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,18,78,0.787878787878788,883.487090909091,3.6,0.1022319603124693,1.0,298.0
charge,MIT_20180412_cell_9_processed,LFP,46,79,0.797979797979798,872.4329090909092,3.6,0.1043434181180438,1.0,298.0
